epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1131.66,0.64859,0.6509,1.20462,0.96969,0.93338,0.995,0.78532,0.96145,0.84976,1.92961,0.000834822,0.000834822,0.000834822
44,1162.14,0.68312,0.643,1.21942,0.87157,0.97208,0.96167,0.77108,1.05695,0.91756,2.09899,0.000820675,0.000820675,0.000820675
45,1188.61,0.67299,0.64697,1.24084,0.88436,0.94975,0.96167,0.80007,1.04259,0.92421,2.08045,0.000806528,0.000806528,0.000806528
46,1213.7,0.6997,0.62663,1.2903,0.88008,0.95859,0.995,0.80404,1.01031,0.8567,2.03148,0.00079238,0.00079238,0.00079238
47,1241.82,0.68224,0.63465,1.22087,0.94785,0.98545,0.995,0.80278,0.9749,0.80687,1.92297,0.000778233,0.000778233,0.000778233
48,1266.84,0.68479,0.66261,1.25754,0.95983,1,0.995,0.80038,0.9888,0.75962,1.95849,0.000764086,0.000764086,0.000764086
49,1292.64,0.62081,0.5619,1.19391,0.97873,1,0.995,0.79942,0.90575,0.76471,1.87382,0.000749939,0.000749939,0.000749939
50,1315.67,0.65394,0.58227,1.22195,0.97651,1,0.995,0.79943,0.8989,0.76342,1.84756,0.000735792,0.000735792,0.000735792
51,1341.83,0.66349,0.60576,1.22462,0.92289,0.99164,0.995,0.80597,0.95455,0.84154,1.95695,0.000721645,0.000721645,0.000721645
52,1366.98,0.62838,0.5685,1.18971,0.9888,0.9024,0.995,0.77569,1.05384,0.81357,2.08915,0.000707498,0.000707498,0.000707498
53,1397.36,0.66413,0.58911,1.1885,0.97719,0.91031,0.995,0.80162,0.94584,0.74957,1.94096,0.000693351,0.000693351,0.000693351
54,1432.55,0.63562,0.55055,1.18405,0.9578,0.99319,0.995,0.83591,0.83383,0.71927,1.85359,0.000679204,0.000679204,0.000679204
55,1462.9,0.56927,0.54857,1.14908,0.96145,1,0.995,0.82358,0.82446,0.70043,1.82909,0.000665057,0.000665057,0.000665057
56,1490.27,0.61541,0.5991,1.17183,0.97923,1,0.995,0.80735,0.99762,0.65509,2.05378,0.000650909,0.000650909,0.000650909
57,1515.91,0.6233,0.5723,1.19113,0.98039,1,0.995,0.79858,1.04666,0.65658,2.19075,0.000636762,0.000636762,0.000636762
58,1543.22,0.62146,0.58103,1.20163,0.98455,1,0.995,0.78474,1.03744,0.67335,2.18516,0.000622615,0.000622615,0.000622615
59,1572.71,0.60714,0.60372,1.20124,0.98349,1,0.995,0.80537,1.0401,0.73341,2.14606,0.000608468,0.000608468,0.000608468
60,1601.62,0.58203,0.55999,1.15172,0.98522,1,0.995,0.7546,1.03316,0.8149,2.09839,0.000594321,0.000594321,0.000594321
61,1631.29,0.58876,0.53516,1.18116,0.98811,1,0.995,0.73886,1.0587,0.74116,2.0637,0.000580174,0.000580174,0.000580174
62,1662.47,0.5757,0.56051,1.17676,0.98298,1,0.995,0.74427,1.03527,0.72278,2.01642,0.000566027,0.000566027,0.000566027
63,1690.01,0.5849,0.5229,1.14729,0.97911,1,0.995,0.7706,0.97758,0.67853,1.89858,0.00055188,0.00055188,0.00055188
64,1716.35,0.58164,0.5573,1.14176,0.97785,1,0.995,0.80701,0.96718,0.73464,1.88493,0.000537733,0.000537733,0.000537733
65,1746.62,0.59771,0.56636,1.17095,0.98003,1,0.995,0.80835,1.01397,0.72685,1.95502,0.000523586,0.000523586,0.000523586
66,1775.24,0.57967,0.51361,1.15323,0.97356,0.93347,0.995,0.74689,1.004,0.81868,1.95073,0.000509438,0.000509438,0.000509438
67,1804.64,0.55376,0.54025,1.16146,0.95954,0.96216,0.995,0.81235,0.93043,0.76519,1.85814,0.000495291,0.000495291,0.000495291
68,1832.12,0.51231,0.49281,1.12957,0.97373,1,0.995,0.81386,0.94208,0.71401,1.87166,0.000481144,0.000481144,0.000481144
